source,author,title,url,publish_datetime
Soldiersystems.net,admin,Orbit and Viasat To Collaborate On Next-Generation Airborne Satellite Communication Systems,https://soldiersystems.net/2024/08/01/orbit-and-viasat-to-collaborate-on-next-generation-airborne-satellite-communication-systems/,2024-08-01T22:00:00Z
Yahoo Entertainment,Max Juang,"MasTec (NYSE:MTZ) Reports Sales Below Analyst Estimates In Q2 Earnings, But Stock Soars 5.1%",https://finance.yahoo.com/news/mastec-nyse-mtz-reports-sales-214608814.html,2024-08-01T21:46:08Z
Investing.com,Investing.com,"Earnings call: NMFC reports steady Q2 performance, optimistic outlook",https://www.investing.com/news/stock-market-news/earnings-call-nmfc-reports-steady-q2-performance-optimistic-outlook-93CH-3550700,2024-08-01T21:35:32Z
Investing.com,Investing.com,Earnings call: Uniti Group reports solid Q2 2024 with strong fiber demand,https://www.investing.com/news/stock-market-news/earnings-call-uniti-group-reports-solid-q2-2024-with-strong-fiber-demand-93CH-3550696,2024-08-01T21:34:44Z
Rlsbb.cc,saamaan1@yahoo.com (Master),Valentina Studio Pro 14.1.3 Multilingual,https://rlsbb.cc/valentina-studio-pro-14-1-3-multilingual/,2024-08-01T21:23:23Z
Politicopro.com,"Daniel Cusick, E&E News","Beach Sand Replenishment Projects Are Expensive, Ineffective and Never-Ending",https://subscriber.politicopro.com/article/eenews/2024/07/30/why-a-century-old-beach-building-program-could-last-forever-00162051,2024-08-01T21:15:00Z
Investing.com,Investing.com,Exlservice Holdings executive sells over $1m in stock,https://www.investing.com/news/company-news/exlservice-holdings-executive-sells-over-1m-in-stock-93CH-3550616,2024-08-01T21:10:06Z
Hacker News,,Just Words (YC W24) Is Hiring,https://www.ycombinator.com/companies/just-words/jobs/ED0Qf42-founding-engineer,2024-08-01T21:01:17Z
Department of Defense,Press Operations,"Contracts for Aug. 1, 2024",https://www.defense.gov/News/Contracts/Contract/Article/3858619//,2024-08-01T21:00:10Z
Dataversity.net,Christiana Nicole,Webinar: Uncover and Accelerate the ROI of Master Data Management (MDM),https://www.dataversity.net/jul-30-webinar-uncover-and-accelerate-the-roi-of-master-data-management-mdm/,2024-08-01T21:00:00Z
GlobeNewswire,Brainy Insights Pvt. Ltd.,Shotcrete Market to Reach $17.09 Billion by 2033 - Strong Demand from Construction Industry,https://www.globenewswire.com/news-release/2024/08/01/2923286/0/en/Shotcrete-Market-to-Reach-17-09-Billion-by-2033-Strong-Demand-from-Construction-Industry.html,2024-08-01T21:00:00Z
Twz.com,Jamie Hunter,Building The F-35 – One Of The Most Advanced Machines Ever Made,https://www.twz.com/sponsored-content/building-the-f-35-one-of-the-most-advanced-machines-ever-made,2024-08-01T20:58:41Z
Rlsbb.ru,Ash,Valentina Studio Pro 14.1.3 Multilingual,https://rlsbb.ru/valentina-studio-pro-14-1-3-multilingual/,2024-08-01T20:53:50Z
Digital Journal,Dr. Tim Sandle,Cybersecurity: How to avoid getting hacked,https://www.digitaljournal.com/tech-science/cybersecurity-how-to-avoid-getting-hacked/article,2024-08-01T20:52:50Z
Mit.edu,Michael Blanding | EAPS News,A bright and airy hub for climate at MIT,https://news.mit.edu/2024/bright-hub-climate-at-mit-0801,2024-08-01T20:40:00Z
Theregister.com,David Gordon,A fresh approach for container management,https://www.theregister.com/2024/08/01/a_fresh_approach_for_container/,2024-08-01T20:36:14Z
Financial Post,Business Wire,Capstone Copper Reports Second Quarter 2024 Results,https://financialpost.com/pmn/business-wire-news-releases-pmn/capstone-copper-reports-second-quarter-2024-results,2024-08-01T20:34:00Z
The Conversation Africa,"Alexandra Nychuk, PhD Candidate, Department of Health, Aging & Society, McMaster University",Underfunded and unstudied: The need for Red River Métis health research funding,https://theconversation.com/underfunded-and-unstudied-the-need-for-red-river-metis-health-research-funding-233338,2024-08-01T20:32:30Z
Konbert.com,Konbert,Why CSV is still king,https://konbert.com/blog/why-csv-is-still-king,2024-08-01T20:32:22Z
Clarkesworldmagazine.com,Alice Towey,The Time Capsule by Alice Towey,https://clarkesworldmagazine.com/towey_08_24/,2024-08-01T20:18:21Z
Clarkesworldmagazine.com,Rajeev Prasad,Canyon Dance by Rajeev Prasad,https://clarkesworldmagazine.com/prasad_08_24/,2024-08-01T20:17:40Z
GlobeNewswire,Matthews International Corporation,Matthews International Reports Results for Fiscal 2024 Third Quarter,https://www.globenewswire.com/news-release/2024/08/01/2923247/12919/en/Matthews-International-Reports-Results-for-Fiscal-2024-Third-Quarter.html,2024-08-01T20:15:00Z
GlobeNewswire,"Casella Waste Systems, Inc.","Casella Waste Systems, Inc. Announces Second Quarter 2024 Results and Recent Acquisitions; Updates Fiscal Year 2024 Guidance",https://www.globenewswire.com/news-release/2024/08/01/2923233/8693/en/Casella-Waste-Systems-Inc-Announces-Second-Quarter-2024-Results-and-Recent-Acquisitions-Updates-Fiscal-Year-2024-Guidance.html,2024-08-01T20:10:00Z
Investing.com,Investing.com,Valmont Industries director sells $480k in company stock,https://www.investing.com/news/company-news/valmont-industries-director-sells-480k-in-company-stock-93CH-3550283,2024-08-01T20:09:23Z
Financial Post,GlobeNewswire,Zymeworks Provides Corporate Update and Reports Second Quarter 2024 Financial Results,https://financialpost.com/globe-newswire/zymeworks-provides-corporate-update-and-reports-second-quarter-2024-financial-results,2024-08-01T20:07:44Z
Financial Post,GlobeNewswire,Altair Announces Second Quarter 2024 Financial Results,https://financialpost.com/globe-newswire/altair-announces-second-quarter-2024-financial-results,2024-08-01T20:07:35Z
Securityaffairs.com,Pierluigi Paganini,"Over 20,000 internet-exposed VMware ESXi instances vulnerable to CVE-2024-37085",https://securityaffairs.com/166432/hacking/vmware-esxi-cve-2024-37085-vulnerable-instances.html,2024-08-01T19:58:41Z
Investing.com,Investing.com,Jacobs Announced as Program Manager for California Hydrogen Hub,https://www.investing.com/news/press-releases/jacobs-announced-as-program-manager-for-california-hydrogen-hub-93CH-3550202,2024-08-01T19:52:05Z
Mit.edu,"School of Humanities, Arts, and Social Sciences","School of Humanities, Arts, and Social Sciences welcomes nine new faculty",https://news.mit.edu/2024/mit-shass-welcomes-new-faculty-0801,2024-08-01T19:50:00Z
ETF Daily News,MarketBeat News,"Lantronix, Inc. (NASDAQ:LTRX) Receives $8.50 Average PT from Brokerages",https://www.etfdailynews.com/2024/08/01/lantronix-inc-nasdaqltrx-receives-8-50-average-pt-from-brokerages/,2024-08-01T19:32:47Z
Ragan.com,Justin Joffe,"PR Daily honors the 2024 Social Media, Digital & Content Marketing Awards in New York: list of winners",https://www.ragan.com/pr-daily-honors-the-2024-social-media-digital-content-marketing-awards-in-new-york-list-of-winners/,2024-08-01T19:30:52Z
Investing.com,Investing.com,"Earnings call: Kyndryl reports robust Q1 results, consult growth",https://www.investing.com/news/stock-market-news/earnings-call-kyndryl-reports-robust-q1-results-consult-growth-93CH-3550154,2024-08-01T19:21:00Z
PR Daily,Justin Joffe,"Congratulations to the winners of PR Daily’s Social Media, Digital & Content Marketing Awards!",https://www.prdaily.com/congratulations-to-the-winners-of-pr-dailys-social-media-digital-content-marketing-awards/,2024-08-01T19:15:54Z
Yanko Design,Gaurav Sood,Honda HP-X Concept revived after forty years has the signature wedge-shape and futuristic vibe,https://www.yankodesign.com/2024/08/01/honda-hp-x-concept-revived-after-forty-years-has-the-signature-wedge-shape-and-futuristic-vibe/,2024-08-01T19:15:30Z
Quartz India,Andy Kalmowitz / Jalopnik,A Tesla that hit and killed a motorcyclist was full-self driving,https://qz.com/a-tesla-that-hit-and-killed-a-motorcyclist-was-full-sel-1851611212,2024-08-01T19:06:28Z
SiliconANGLE News,Victor Dabrinze,The platformization of Tanzu: From Kubernetes to full-fledged application toolbox,https://siliconangle.com/2024/08/01/tanzu-kubernetes-application-platform-cubeconversations/,2024-08-01T19:00:02Z
Tech Xplore,Science X,States consider new science-backed solution to save time and money on concrete infrastructure repair,https://techxplore.com/news/2024-08-states-science-solution-money-concrete.html,2024-08-01T18:02:56Z
Forbes,"Hessie Jones, Contributor, 
 Hessie Jones, Contributor
 https://www.forbes.com/sites/hessiejones/",Does AI Deserve A Seat At The Boardroom Table?,https://www.forbes.com/sites/hessiejones/2024/08/01/does-ai-deserve-a-seat-at-the-boardroom-table/,2024-08-01T18:01:52Z
Nakedcapitalism.com,Lambert Strether,2:00PM Water Cooler 8/1/2024,https://www.nakedcapitalism.com/2024/08/200pm-water-cooler-8-1-2024.html,2024-08-01T18:00:11Z
Ieee.org,Joanna Goodrich,The President-Elect Candidates’ Plans to Further IEEE’s Mission,https://spectrum.ieee.org/2025-president-elect-position-statements,2024-08-01T18:00:02Z
Pypi.org,ashishkmr472@gmail.com,FlaxDiff added to PyPI,https://pypi.org/project/flaxdiff/,2024-08-01T17:42:43Z
Daily Signal,Sanjai Bhagat,"War on Working Women, Minorities: Biden-Harris Policies Strangling Middle Class",https://www.dailysignal.com/2024/08/01/war-working-women-minorities-biden-harris-policies-strangling-middle-class/,2024-08-01T17:38:03Z
ETF Daily News,MarketBeat News,Montague International (OTCMKTS:MIHL) vs. Draganfly (NASDAQ:DPRO) Critical Comparison,https://www.etfdailynews.com/2024/08/01/montague-international-otcmktsmihl-vs-draganfly-nasdaqdpro-critical-comparison/,2024-08-01T17:34:45Z
Mit.edu,"Brian Elliott. Brian Elliott is an executive adviser and speaker. He is a coauthor of How the Future Works: Leading Flexible Teams to Do the Best Work of Their Lives (Wiley, 2022).",Hybrid Work: How Leaders Build In-Person Moments That Matter,https://sloanreview.mit.edu/article/hybrid-work-how-leaders-build-in-person-moments-that-matter/,2024-08-01T17:00:25Z
Dzone.com,Aaikansh Agrawal,3 Reasons Why VPs of Engineering Are Choosing Low-Code,https://dzone.com/articles/3-reasons-vps-of-engineering-are-choosing-low-code,2024-08-01T17:00:01Z
New Zealand Herald,Matthew Hooton,What I’d do if I was Finance Minister - Matthew Hooton,https://www.nzherald.co.nz/business/what-id-do-if-i-was-finance-minister-matthew-hooton/SKDI3KE2I5EN3L67F2UCW5QJHU/,2024-08-01T17:00:00Z
Investing.com,Investing.com,MACOM Reports Fiscal Third Quarter 2024 Financial Results,https://www.investing.com/news/press-releases/macom-reports-fiscal-third-quarter-2024-financial-results-93CH-3549947,2024-08-01T16:52:05Z
SiliconANGLE News,Victoria Gayton,Google aims to transform enterprise data with multicloud integration and AI,https://siliconangle.com/2024/08/01/google-unified-data-platforms-supercloud7/,2024-08-01T16:51:00Z
GlobeNewswire,CMI MARKET RESEARCH PRIVATE LIMITED,"[Latest] Global Generative AI Market Size/Share Worth USD 189,649.7 Million by 2033 at a 28.2% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)",https://www.globenewswire.com/news-release/2024/08/01/2923046/0/en/Latest-Global-Generative-AI-Market-Size-Share-Worth-USD-189-649-7-Million-by-2033-at-a-28-2-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentation.html,2024-08-01T16:30:00Z
Amazon.com,Paul Min,Streamline insurance underwriting with generative AI using Amazon Bedrock – Part 1,https://aws.amazon.com/blogs/machine-learning/streamline-insurance-underwriting-with-generative-ai-using-amazon-bedrock-part-1/,2024-08-01T16:26:26Z
Science Daily,,Method prevents an AI model from being overconfident about wrong answers,https://www.sciencedaily.com/releases/2024/08/240801121940.htm,2024-08-01T16:19:40Z
Science Daily,,'Smarter' semiconductor technology for training 'smarter' artificial intelligence,https://www.sciencedaily.com/releases/2024/08/240801121936.htm,2024-08-01T16:19:36Z
Science Daily,,Engineering researchers crack the code to boost solar cell efficiency and durability,https://www.sciencedaily.com/releases/2024/08/240801121900.htm,2024-08-01T16:19:00Z
Science Daily,,Towards smart cities: Predicting soil liquefaction risk using artificial intelligence,https://www.sciencedaily.com/releases/2024/08/240801121613.htm,2024-08-01T16:16:13Z
Hackerfactor.com,Dr. Neal Krawetz,Reversing Samsung Metadata,https://www.hackerfactor.com/blog/index.php?/archives/1039-Reversing-Samsung-Metadata.html,2024-08-01T16:07:00Z
CMSWire,pr@cmswire.com (Ruth Baril),Dogfooding Done Right: Improve Customer Satisfaction with Employee Feedback,https://www.cmswire.com/customer-experience/dogfooding-done-right-improve-customer-satisfaction-with-employee-feedback/,2024-08-01T15:56:23Z
pymnts.com,PYMNTS,Cyberattack on World’s Largest Silver Producer Highlights Data’s Role as Goldmine,https://www.pymnts.com/cybersecurity/2024/cyberattack-world-largest-silver-producer-highlights-data-role/,2024-08-01T15:42:05Z
GlobeNewswire,Future Market Insights Global and Consulting Pvt. Ltd.,"Bridge Bearing Market to Reach USD 1,242.87 Million by 2034: Steel and Elastomeric Bearings Lead the Way | Future Market Insights, Inc.",https://www.globenewswire.com/news-release/2024/08/01/2923004/0/en/Bridge-Bearing-Market-to-Reach-USD-1-242-87-Million-by-2034-Steel-and-Elastomeric-Bearings-Lead-the-Way-Future-Market-Insights-Inc.html,2024-08-01T15:30:00Z
Ms. Magazine,"Shikha Jain, MD",ChatGPT Thinks Doctors Are Male—How AI Mirrors Society’s Gender Bias,https://msmagazine.com/2024/08/01/chatgpt-thinks-doctors-are-male-sexism-women-artificial-intelligence/,2024-08-01T15:23:22Z
Github.com,phrasecode,"Show HN: Linked QL – a ""magic wand"" query client for your database",https://github.com/linked-db/linked-ql,2024-08-01T15:10:19Z
Jalopnik,Andy Kalmowitz,Motorcyclist Killed By Tesla With Full Self-Driving Engaged,https://jalopnik.com/motorcyclist-killed-by-tesla-with-full-self-driving-eng-1851610759,2024-08-01T15:10:00Z
Yahoo Entertainment,editorial-team@simplywallst.com (Simply Wall St),Discovering Undiscovered Gems in the United States August 2024,https://finance.yahoo.com/news/discovering-undiscovered-gems-united-states-150742712.html,2024-08-01T15:07:42Z
Investing.com,Investing.com,Earnings call: FormFactor Q2 2024 earnings surpass expectations,https://www.investing.com/news/stock-market-news/earnings-call-formfactor-q2-2024-earnings-surpass-expectations-93CH-3549620,2024-08-01T15:06:29Z
Securityaffairs.com,Pierluigi Paganini,Pharma Giant Cencora confirmed the theft of personal and health information,https://securityaffairs.com/166422/data-breach/cencora-confirmed-theft-pii-heath-data.html,2024-08-01T15:02:57Z
SiliconANGLE News,Kyt Dotson,Google Cloud announces new data innovations to support AI applications,https://siliconangle.com/2024/08/01/google-cloud-announces-new-data-innovations-support-ai-applications/,2024-08-01T15:00:58Z
Digital Trends,Briley Kenney,1Password: Digital back-to-school tips for safe browsing and better security,https://www.digitaltrends.com/brc/1password-back-to-school-safe-browsing-tips/,2024-08-01T15:00:41Z
Hacker News,whoishiring,Ask HN: Who wants to be hired? (August 2024),https://news.ycombinator.com/item?id=41129811,2024-08-01T15:00:32Z
TechCrunch,Frederic Lardinois,Google Cloud expands its database portfolio with new AI capabilities,https://techcrunch.com/2024/08/01/google-cloud-expands-its-database-portfolio-with-new-ai-capabilities/,2024-08-01T15:00:00Z
GlobeNewswire,Precedence Research,3D Printing Market Size Expected to Reach USD 117.78 Bn By 2033,https://www.globenewswire.com/news-release/2024/08/01/2922977/0/en/3D-Printing-Market-Size-Expected-to-Reach-USD-117-78-Bn-By-2033.html,2024-08-01T15:00:00Z
Tech Xplore,Science X,Engineering researchers crack the code to boost solar cell efficiency and durability,https://techxplore.com/news/2024-08-code-boost-solar-cell-efficiency.html,2024-08-01T14:55:15Z
DW (English),Swechhya Raut,"Nepal: How monsoons bring rain, landslides, and tragedy",https://www.dw.com/en/nepal-how-monsoons-bring-rain-landslides-and-tragedy/a-69831217,2024-08-01T14:48:00Z
GlobeNewswire,FMW Media Works Corp,"New to The Street TV Announces Episode 582, Five Business Guest Interviews, Airs on Bloomberg TV as Sponsored Programming, Tonight, Thursday, August 1, 2024, at 9:30 PM PT",https://www.globenewswire.com/news-release/2024/08/01/2922960/0/en/New-to-The-Street-TV-Announces-Episode-582-Five-Business-Guest-Interviews-Airs-on-Bloomberg-TV-as-Sponsored-Programming-Tonight-Thursday-August-1-2024-at-9-30-PM-PT.html,2024-08-01T14:45:00Z
GlobeNewswire,Future Market Insights Global and Consulting Pvt. Ltd.,Demand for Electric Vehicle Motors is rising in Parallel with EV Sales | Future Market Insights.,https://www.globenewswire.com/news-release/2024/08/01/2922947/0/en/Demand-for-Electric-Vehicle-Motors-is-rising-in-Parallel-with-EV-Sales-Future-Market-Insights.html,2024-08-01T14:30:00Z
Phys.Org,Science X,Predicting soil liquefaction risk using artificial intelligence,https://phys.org/news/2024-08-soil-liquefaction-artificial-intelligence.html,2024-08-01T14:29:51Z
Forbes,"Eyal Benishti, Forbes Councils Member, 
 Eyal Benishti, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/eyalbenishti/",Are We AI Ready? Why The 2024 Paris Olympics Will Be A Critical Proving Ground For The World’s Cyber Defenses,https://www.forbes.com/sites/forbestechcouncil/2024/08/01/are-we-ai-ready-why-the-2024-paris-olympics-will-be-a-critical-proving-ground-for-the-worlds-cyber-defenses/,2024-08-01T14:15:00Z
Plos.org,"Hongyuan Shen, Panyu Xiong, Linfeng Yang, Ling Zhou",Quantitative evaluation of science and technology financial policies based on the PMC-AE index model: A case study of China’s science and technology financial policies since the 13th five-year plan,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307529,2024-08-01T14:00:00Z
Plos.org,"Zohair Al-Zoubi, Ahmed AlKaabi, Ahmad Qablan, Omar Bataineh, Hytham Bany Issa",The impact of work pressure on decision-making effectiveness among department heads in faculties of educational sciences,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0304584,2024-08-01T14:00:00Z
Plos.org,"Burcu Ozek, Zhenyuan Lu, Srinivasan Radhakrishnan, Sagar Kamarthi",Uncertainty quantification in neural-network based pain intensity estimation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307970,2024-08-01T14:00:00Z
Plos.org,"Jia Li, Chan Lv",Exploring user acceptance of online virtual reality exhibition technologies: A case study of Liangzhu Museum,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0308267,2024-08-01T14:00:00Z
Bikerumor.com,editor@bikerumor.com (Bikerumor.com / Tyler Benedict),Zipp Rolls Out Crazy Wide 303 XPLR Gravel Wheels and Zipp XPLR bars,https://bikerumor.com/zipp-303-xplr-sw-gravel-wheels/,2024-08-01T14:00:00Z
Streamingmedia.com,https://www.streamingmedia.com/Authors/9592-Tyler-Nesler.htm,"Streaming Media Connect Sneak Preview: Over the Hedge - Monetizing CTV and FAST Channels With Samsung, Roku, TVREV, IAB Tech Lab, and The Independent Streaming Alliance",https://www.streamingmedia.com/Articles/ReadArticle.aspx?ArticleID=165221,2024-08-01T14:00:00Z
Plos.org,"Shuchuan Miao, Xiaoyan Wang, Lu Ma, Chao You",Sedentary behavior from television watching elevates GlycA levels: A bidirectional Mendelian randomization study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0308301,2024-08-01T14:00:00Z
Plos.org,"Yanhua Shi, Shanshan Fan, Qianqian Xiao, Ziyu Li",What drives water conservation in the supply chain of the Yellow River Basin? An empirical analysis based on SPD,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306519,2024-08-01T14:00:00Z
Plos.org,"David Patriquin, Robert E. Scheibling, Karen Filbee-Dexter","Shifts in biodiversity and physical structure of seagrass beds across 5 decades at Carriacou, Grenadines",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306897,2024-08-01T14:00:00Z
Forbes,"Vishwanadham Mandala, Forbes Councils Member, 
 Vishwanadham Mandala, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/vishwanadhammandala/",The Role Of Generative AI In Next-Gen Automotives,https://www.forbes.com/sites/forbestechcouncil/2024/08/01/the-role-of-generative-ai-in-next-gen-automotives/,2024-08-01T14:00:00Z
Plos.org,"Abhilash Pati, Amrutanshu Panigrahi, Manoranjan Parhi, Jayant Giri, Hong Qin, Saurav Mallik, Sambit Ranjan Pattanayak, Umang Kumar Agrawal",Performance assessment of hybrid machine learning approaches for breast cancer and recurrence prediction,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0304768,2024-08-01T14:00:00Z
Investing.com,Investing.com,Earnings call: Alkami Technology's Q2 2024 results show solid growth,https://www.investing.com/news/stock-market-news/earnings-call-alkami-technologys-q2-2024-results-show-solid-growth-93CH-3549267,2024-08-01T13:55:11Z
Stanford.edu,"Carl Craver, James Tabery, and Phyllis Illari",Mechanisms in Science,https://plato.stanford.edu/entries/science-mechanisms/,2024-08-01T13:54:31Z
Raw Story,The Conversation,NASA smacked a spacecraft into an asteroid – details on its 12-million-year history,https://www.rawstory.com/news/nasa-smacked-a-spacecraft-into-an-asteroid-and-learned-details-on-its-12-million-year-hi/,2024-08-01T13:51:54Z
Futurity: Research News,James Devitt-NYU,Peek under glacier reveals clues to future sea level rise,https://www.futurity.org/antarctica-glacier-submersible-3243062-2/,2024-08-01T13:51:12Z
